Facultad de Medicina,Fecha de última admisión,Nota de corte actual,1ª Lista,Sobre 10,2ª Lista,Sobre 10,3ª Lista,Sobre 10,4ª Lista,Sobre 10,5ª Lista,Sobre 10,6ª Lista,Sobre 10,7ª Lista,Sobre 10,8ª Lista,Sobre 10,9ª Lista,Sobre 10,10ª Lista,Sobre 10,11ª Lista,Sobre 10,12ª Lista,Sobre 10,13ª Lista,Sobre 10,14ª Lista,Sobre 10,15ª Lista,Sobre 10,16ª Lista,Sobre 10,17ª Lista,Sobre 10,18ª Lista,Sobre 10,19ª Lista,Sobre 10
Universidad de Lérida,22/10/2015,"12,101","12,266","8,761","12,21","8,721","12,142","8,673","12,142","8,673","12,142","8,673","12,132","8,666","12,101","8,644",,,,,,,,,,,,,,,,,,,,,,,,
Universidad Rovira i Virgili (Reus),22/10/2015,"12,108","12,236","8,740","12,208","8,720","12,17","8,693","12,148","8,677","12,133","8,666","12,133","8,666","12,108","8,649",,,,,,,,,,,,,,,,,,,,,,,,
U. de Cantabria (Santander),6/10/2015,"12,178","12,572","8,980","12,46","8,900","12,421","8,872","12,376","8,840","12,34","8,814","12,26","8,757","12,22","8,729","12,211","8,722","12,2","8,714","12,191","8,708","12,178","8,699",,,,,,,,,,,,,,,,
U. de Santiago de Compostela,21/07/2015,"12,178","12,332","8,809","12,178","8,699","12,178","8,699","12,178","8,699","12,178","8,699","12,178","8,699","12,178","8,699",,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Gerona,3/09/2015,"12,182","12,242","8,744","12,227","8,734","12,182","8,701","12,182","8,701","12,182","8,701","12,182","8,701","12,182","8,701",,,,,,,,,,,,,,,,,,,,,,,,
Universidad del País Vasco (Lejona),27/07/2015,"12,22","12,268","8,763","12,234","8,739","12,22","8,729","12,22","8,729","12,22","8,729","12,22","8,729","12,22","8,729",,,,,,,,,,,,,,,,,,,,,,,,
U. de Zaragoza (Campus Huesca),19/11/2015,"12,234","12,456","8,897","12,418","8,870","12,409","8,864","12,39","8,850","12,37","8,836","12,336","8,811","12,324","8,803","12,301","8,786","12,279","8,771","12,272","8,766","12,263","8,759","12,253","8,752","12,25","8,750","12,242","8,744","12,234","8,739",,,,,,,,
Universidad de Salamanca,8/10/2015,"12,241","12,498","8,927","12,5","8,929","12,482","8,916","12,472","8,909","12,462","8,901","12,273","8,766","12,241","8,744",,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Valladolid,16/12/2015,"12,307","12,440","8,886","12,39","8,850","12,376","8,840","12,37","8,836","12,365","8,832","12,356","8,826","12,344","8,817","12,34","8,814","12,333","8,809","12,33","8,807","12,323","8,802","12,321","8,801","12,318","8,799","12,316","8,797","12,314","8,796","12,313","8,795","12,307","8,791",,,,
Universidad Jaume I,8/10/2015,"12,32","12,574","8,981","12,471","8,908","12,4","8,857","12,381","8,844","12,369","8,835","12,349","8,821","12,332","8,809","12,32","8,800",,,,,,,,,,,,,,,,,,,,,,
