Facultad de Medicina,Fecha de última admisión,Nota de corte actual,1ª Lista,Sobre 10,2ª Lista,Sobre 10,3ª Lista,Sobre 10,4ª Lista,Sobre 10,5ª Lista,Sobre 10,6ª Lista,Sobre 10,7ª Lista,Sobre 10,8ª Lista,Sobre 10,9ª Lista,Sobre 10,10ª Lista,Sobre 10,11ª Lista,Sobre 10,12ª Lista,Sobre 10,13ª Lista,Sobre 10,14ª Lista,Sobre 10,15ª Lista,Sobre 10,16ª Lista,Sobre 10,17ª Lista,Sobre 10,18ª Lista,Sobre 10,19ª Lista,Sobre 10
Universidad de Oviedo,1/10/2015,"12,342","12,618","9,013","12,618","9,013","12,618","9,013","12,576","8,983","12,54","8,957","12,504","8,931","12,464","8,903","12,409","8,864","12,342","8,816",,,,,,,,,,,,,,,,,,,,
U. de Extremadura (Badajoz),"No consta. La última conocida fue 12,408 el día 27/10","12,36","12,840","9,171","12,624","9,017","12,536","8,954","12,506","8,933","12,464","8,903","12,436","8,883","12,428","8,877","12,426","8,876","12,425","8,875","12,414","8,867","12,408","8,863","12,36","8,829",,,,,,,,,,,,,,
Universidad Autónoma de Barcelona,3/09/2015,"12,364","12,394","8,853","12,394","8,853","12,364","8,831","12,364","8,831","12,364","8,831","12,364","8,831","12,364","8,831",,,,,,,,,,,,,,,,,,,,,,,,
U. de Zaragoza (Campus Zaragoza),16/11/2015,"12,404","12,547","8,962","12,483","8,916","12,456","8,897","12,437","8,884","12,424","8,874","12,415","8,868","12,415","8,868","12,414","8,867","12,414","8,867","12,414","8,867","12,414","8,867","12,414","8,867","12,41","8,864","12,41","8,864","12,404","8,860",,,,,,,,
U. de C-La Mancha (Campus Albacete),20/10/2015,"12,424","12,694","9,067","12,547","8,962","12,475","8,911","12,471","8,908","12,424","8,874",,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. de C-La Mancha (Campus C.Real),29/09/2015,"12,433","12,678","9,056","12,549","8,964","12,47","8,907","12,47","8,907","12,433","8,881",,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. Miguel Hernández (S. Juan de Alicante),6/10/2015,"12,438","12,644","9,031","12,53","8,950","12,518","8,941","12,508","8,934","12,498","8,927","12,498","8,927","12,48","8,914","12,471","8,908","12,456","8,897","12,446","8,890","12,438","8,884",,,,,,,,,,,,,,,,
URJC - Campus Alcorcón,26/09/2015,"12,455","12,536","8,954","12,455","8,896",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Alcalá,30/09/2015,"12,472","12,543","8,959","12,533","8,952","12,52","8,943","12,52","8,943","12,508","8,934","12,496","8,926","12,479","8,914","12,472","8,909",,,,,,,,,,,,,,,,,,,,,,
Universidad de Cádiz,2/11/2015,"12,482","12,719","9,085","12,624","9,017","12,59","8,993","12,559","8,971","12,53","8,950","12,519","8,942","12,514","8,939","12,504","8,931","12,498","8,927","12,495","8,925","12,488","8,920","12,482","8,916",,,,,,,,,,,,,,
Universidad de Valencia,6/10/2015,"12,514","12,774","9,124","12,56","8,971","12,536","8,954","12,514","8,939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Córdoba,2/11/2015,"12,569","12,736","9,097","12,653","9,038","12,63","9,021","12,606","9,004","12,588","8,991","12,583","8,988","12,574","8,981","12,57","8,979","12,573","8,981","12,573","8,981","12,573","8,981","12,569","8,978",,,,,,,,,,,,,,
Universidad de La Laguna,22/07/2015 / Se desconoce la nota exacta de la ejecución de listas de espera),"12,58","12,854","9,181","12,672","9,051","12,58","8,986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. Pompeu Fabra (Barcelona),7/09/2015,"12,598","12,632","9,023","12,608","9,006","12,598","8,999","12,598","8,999","12,598","8,999","12,598","8,999",,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Málaga,14/09/2015,"12,606","12,766","9,119","12,674","9,053","12,653","9,038","12,63","9,021","12,606","9,004","12,606","9,004","12,606","9,004","12,606","9,004","12,606","9,004",,,,,,,,,,,,,,,,,,,,
Universidad de Barcelona,3/09/2015,"12,642","12,698","9,070","12,689","9,064","12,642","9,030","12,642","9,030","12,642","9,030","12,642","9,030",,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Sevilla,2/11/2015,"12,645","12,798","9,141","12,719","9,085","12,675","9,054","12,667","9,048","12,667","9,048","12,665","9,046","12,663","9,045","12,662","9,044","12,662","9,044","12,646","9,033","12,646","9,033","12,645","9,032",,,,,,,,,,,,,,
U. Autónoma de Madrid,28/07/2015,"12,651","12,819","9,156","12,672","9,051","12,651","9,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Murcia,9/09/2015,"12,661","12,950","9,250","12,797","9,141","12,703","9,074","12,669","9,049","12,661","9,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Granada,3/10/2015,"12,669","12,947","9,248","12,798","9,141","12,723","9,088","12,694","9,067","12,684","9,060","12,677","9,055","12,678","9,056","12,656","9,040","12,669","9,049","12,669","9,049","12,669","9,049","12,669","9,049",,,,,,,,,,,,,,
Universidad Complutense de Madrid,19/07/2015,"12,697","12,697","9,069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Las Palmas,31/08/2015,"12,791","12,839","9,171","12,815","9,154","12,799","9,142","12,791","9,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota promedio,,"12,422","12,605",,"12,517",,"12,480",,"12,455",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desviación típica,,"0,188","0,201",,"0,177",,"0,175",,"0,173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"0,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"0,014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
