Facultad de Medicina,Fecha de última admisión,Nota de corte actual,1ª Lista,Sobre 10,2ª Lista,Sobre 10,3ª Lista,Sobre 10,4ª Lista,Sobre 10,5ª Lista,Sobre 10,6ª Lista,Sobre 10,7ª Lista,Sobre 10,8ª Lista,Sobre 10,9ª Lista,Sobre 10,10ª Lista,Sobre 10,11ª Lista,Sobre 10,12ª Lista,Sobre 10,13ª Lista,Sobre 10,14ª Lista,Sobre 10,15ª Lista,Sobre 10,16ª Lista,Sobre 10,17ª Lista,Sobre 10,18ª Lista,Sobre 10,19ª Lista,Sobre 10
Universidad de Lérida,25/10/2016,"12,124","12,305","8,789","12,224","8,731","12,224","8,731","12,224","8,731","12,208","8,720","12,187","8,705","12,158","8,684","12,124","8,660",,,,,,,,,,,,,,,,,,,,,,
Universidad de las Islas Baleares,29/09/2016,"12,144","12,534","8,953","12,398","8,856","12,344","8,817","12,287","8,776","12,232","8,737","12,191","8,708","12,158","8,684","12,153","8,681","12,145","8,675","12,144","8,674",,,,,,,,,,,,,,,,,,
Universidad de Gerona,13/10/2016,"12,168","12,303","8,788","12,258","8,756","12,23","8,736","12,204","8,717","12,194","8,710","12,194","8,710","12,168","8,691",,,,,,,,,,,,,,,,,,,,,,,,
Universidad Rovira i Virgili (Reus),19/10/2016,"12,164","12,296","8,783","12,208","8,720","12,208","8,720","12,208","8,720","12,208","8,720","12,208","8,720","12,208","8,720","12,164","8,689",,,,,,,,,,,,,,,,,,,,,,
Universidad Autónoma de Barcelona,21/10/2016,"12,185","12,348","8,820","12,298","8,784","12,298","8,784","12,298","8,784","12,298","8,784","12,248","8,749","12,201","8,715","12,185","8,704",,,,,,,,,,,,,,,,,,,,,,
Universidad de Barcelona,13/10/2016,"12,196","12,621","9,015","12,478","8,913","12,291","8,779","12,266","8,761","12,266","8,761","12,258","8,756","12,196","8,711",,,,,,,,,,,,,,,,,,,,,,,,
U. de Zaragoza (Campus Huesca),7/11/2016,"12,236","12,588","8,991","12,506","8,933","12,479","8,914","12,439","8,885","12,38","8,843","12,35","8,821","12,3","8,786","12,297","8,784","12,291","8,779","12,277","8,769","12,264","8,760","12,249","8,749","12,236","8,740",,,,,,,,,,,,
U. Pompeu Fabra (Barcelona),5/09/2016,"12,264","12,620","9,014","12,476","8,911","12,32","8,800","12,264","8,760","12,264","8,760","12,264","8,760",,,,,,,,,,,,,,,,,,,,,,,,,,
U. de Santiago de Compostela,19/10/2016,"12,278","12,610","9,007","12,467","8,905","12,424","8,874","12,39","8,850","12,35","8,821","12,296","8,783","12,278","8,770",,,,,,,,,,,,,,,,,,,,,,,,
U. de Cantabria (Santander),11/10/2016,"12,298","12,726","9,090","12,602","9,001","12,56","8,971","12,522","8,944","12,46","8,900","12,384","8,846","12,328","8,806","12,31","8,793","12,306","8,790","12,298","8,784",,,,,,,,,,,,,,,,,,
Universidad de Valladolid,9/11/2016,"12,3","12,592","8,994","12,524","8,946","12,476","8,911","12,436","8,883","12,36","8,829","12,34","8,814","12,33","8,807","12,318","8,799","12,318","8,799","12,318","8,799","12,316","8,797","12,315","8,796","12,314","8,796","12,308","8,791","12,305","8,789","12,3","8,786",,,,,,
Universidad de Salamanca,27/10/2016,"12,354","12,713","9,081","12,588","8,991","12,514","8,939","12,482","8,916","12,441","8,886","12,37","8,836","12,354","8,824",,,,,,,,,,,,,,,,,,,,,,,,
Universidad Jaume I,6/10/2016,"12,376","12,754","9,110","12,636","9,026","12,49","8,921","12,462","8,901","12,451","8,894","12,428","8,877","12,422","8,873","12,4","8,857","12,376","8,840",,,,,,,,,,,,,,,,,,,,
U. de Zaragoza (Campus Zaragoza),28/10/2016,"12,382","12,683","9,059","12,567","8,976","12,523","8,945","12,485","8,918","12,469","8,906","12,435","8,882","12,409","8,864","12,408","8,863","12,408","8,863","12,408","8,863","12,382","8,844",,,,,,,,,,,,,,,,
Universidad del País Vasco (Lejona),29/07/2016,"12,392","12,444","8,889","12,423","8,874","12,4","8,857","12,392","8,851","12,392","8,851","12,392","8,851",,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Oviedo,19/09/2016,"12,404","12,762","9,116","12,662","9,044","12,586","8,990","12,524","8,946","12,472","8,909","12,44","8,886","12,403","8,859","12,404","8,860",,,,,,,,,,,,,,,,,,,,,,
URJC - Campus Alcorcón,17/10/2016,"12,451","12,620","9,014","12,451","8,894",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. Miguel Hernández (S. Juan de Alicante),23/09/2016,"12,501","12,848","9,177","12,691","9,065","12,68","9,057","12,67","9,050","12,644","9,031","12,616","9,011","12,574","8,981","12,52","8,943","12,509","8,935","12,509","8,935","12,501","8,929",,,,,,,,,,,,,,,,
U. de C-La Mancha (Campus C.Real),13/09/2016,"12,517","12,749","9,106","12,644","9,031","12,551","8,965","12,551","8,965","12,517","8,941",,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. de C-La Mancha (Campus Albacete),14/09/2016,"12,525","12,768","9,120","12,593","8,995","12,557","8,969","12,531","8,951","12,525","8,946",,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. de Extremadura (Badajoz),28/10/2016,"12,532","13,082","9,344","12,853","9,181","12,732","9,094","12,664","9,046","12,582","8,987","12,572","8,980","12,57","8,979","12,57","8,979","12,558","8,970","12,537","8,955","12,532","8,951","12,532","8,951",,,,,,,,,,,,,,
Universidad de Alcalá,27/10/2016,"12,532","12,575","8,982","12,575","8,982","12,571","8,979","12,56","8,971","12,555","8,968","12,543","8,959","12,532","8,951",,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Cádiz,31/10/2016,"12,55","12,831","9,165","12,71","9,079","12,671","9,051","12,627","9,019","12,592","8,994","12,563","8,974","12,558","8,970","12,558","8,970","12,555","8,968","12,552","8,966","12,55","8,964",,,,,,,,,,,,,,,,
Universidad de Valencia,28/09/2016,"12,584","12,856","9,183","12,65","9,036","12,632","9,023","12,631","9,022","12,618","9,013","12,584","8,989",,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Complutense de Madrid,3/10/2016,"12,599","12,742","9,101","12,648","9,034","12,599","8,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de La Laguna,28/07/2016,"12,603","12,888","9,206","12,708","9,077","12,619","9,014","12,603","9,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Málaga,26/09/2016,"12,665","12,878","9,199","12,754","9,110","12,719","9,085","12,68","9,057","12,664","9,046","12,665","9,046","12,665","9,046","12,665","9,046","12,665","9,046","12,665","9,046","12,665","9,046",,,,,,,,,,,,,,,,
Universidad de Córdoba,26/09/2016,"12,684","12,874","9,196","12,756","9,111","12,73","9,093","12,719","9,085","12,697","9,069","12,684","9,060","12,684","9,060","12,684","9,060","12,684","9,060","12,684","9,060","12,684","9,060",,,,,,,,,,,,,,,,
U. Autónoma de Madrid,13/09/2016,"12,686","12,843","9,174","12,729","9,092","12,692","9,066","12,686","9,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Granada,10/10/2016,"12,772","13,048","9,320","12,874","9,196","12,813","9,152","12,78","9,129","12,78","9,129","12,778","9,127","12,778","9,127","12,772","9,123","12,772","9,123","12,772","9,123",,,,,,,,,,,,,,,,,,
Universidad de Murcia,13/10/2016,"12,775","13,046","9,319","12,93","9,236","12,825","9,161","12,786","9,133","12,776","9,126","12,775","9,125",,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Sevilla,24/10/2016,"12,784","12,970","9,264","12,823","9,159","12,8","9,143","12,793","9,138","12,793","9,138","12,793","9,138","12,793","9,138","12,785","9,132","12,785","9,132","12,784","9,131","12,784","9,131",,,,,,,,,,,,,,,,
Universidad de Las Palmas,29/07/2016,"12,786","12,978","9,270","12,814","9,153","12,79","9,136","12,786","9,133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota promedio,,"12,449","12,712",,"12,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desviación típica,,"0,203","0,213",,"0,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
