Facultad de Medicina,Fecha de última admisión,Nota de corte actual,1ª Lista,Sobre 10,2ª Lista,Sobre 10,3ª Lista,Sobre 10,4ª Lista,Sobre 10,5ª Lista,Sobre 10,6ª Lista,Sobre 10,7ª Lista,Sobre 10,8ª Lista,Sobre 10,9ª Lista,Sobre 10,10ª Lista,Sobre 10,11ª Lista,Sobre 10,12ª Lista,Sobre 10,13ª Lista,Sobre 10,14ª Lista,Sobre 10,15ª Lista,Sobre 10,16ª Lista,Sobre 10,17ª Lista,Sobre 10,18ª Lista,Sobre 10,19ª Lista,Sobre 10
Universidad Rovira i Virgili (Reus),25-oct-2012,"11,668","12,02","8,59","11,901","8,50","11,816","8,44","11,765","8,40","11,74","8,39","11,74","8,39","11,712","8,37","11,674","8,34","11,668","8,33",,,,,,,,,,,,,,,,,,,,
Universidad de Gerona,17-oct-2012,"11,672","11,946","8,53","11,83","8,45","11,808","8,43","11,76","8,40","11,714","8,37","11,701","8,36","11,672","8,34","11,672","8,34",,,,,,,,,,,,,,,,,,,,,,
Universidad de Lérida,17-oct-2012,"11,68","11,944","8,53","11,845","8,46","11,788","8,42","11,788","8,42","11,711","8,37","11,711","8,37","11,68","8,34","11,68","8,34",,,,,,,,,,,,,,,,,,,,,,
Universidad Autónoma de Barcelona,23-oct-2012,"11,765","12,022","8,59","11,905","8,50","11,852","8,47","11,847","8,46","11,787","8,42","11,787","8,42","11,772","8,41","11,765","8,40",,,,,,,,,,,,,,,,,,,,,,
U. de Santiago de Compostela,10-oct-2012,"11,78","12,179","8,70","11,981","8,56","11,981","8,56","11,981","8,56","11,981","8,56","11,856","8,47","11,78","8,41","11,78","8,41",,,,,,,,,,,,,,,,,,,,,,
U. de Zaragoza (Campus Huesca),21-dic-2012,"11,796","12,268","8,76","12,119","8,66","12,05","8,61","11,98","8,56","11,931","8,52","11,911","8,51","11,895","8,50","11,868","8,48","11,842","8,46","11,82","8,44","11,814","8,44","11,811","8,44","11,811","8,44","11,811","8,44","11,811","8,44","11,811","8,44","11,803","8,43","11,796","8,43",,
Universidad de Barcelona,23-oct-2012,"11,8","12,332","8,81","12,236","8,74","11,953","8,54","11,902","8,50","11,857","8,47","11,83","8,45","11,83","8,45","11,8","8,43",,,,,,,,,,,,,,,,,,,,,,
U. Pompeu Fabra (Barcelona),3-oct-2012,"11,808","12,242","8,74","12,033","8,60","11,935","8,53","11,846","8,46","11,808","8,43","11,808","8,43","11,808","8,43","11,808","8,43",,,,,,,,,,,,,,,,,,,,,,
U. de Cantabria (Santander),30-nov-2012,"11,81","12,504","8,93","12,318","8,80","12,23","8,74","12,165","8,69","12,04","8,60","11,968","8,55","11,918","8,51","11,88","8,49","11,862","8,47","11,857","8,47","11,81","8,44",,,,,,,,,,,,,,,,
Universidad del País Vasco (Lejona),26-sept-2012,"11,83","12,119","8,66","11,956","8,54","11,897","8,50","11,89","8,49","11,862","8,47","11,862","8,47","11,83","8,45",,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Valladolid,13-nov-2012,"11,872","12,31","8,79","12,082","8,63","12,034","8,60","11,995","8,57","11,975","8,55","11,958","8,54","11,95","8,54","11,94","8,53","11,928","8,52","11,912","8,51","11,893","8,50","11,872","8,48",,,,,,,,,,,,,,
U. de Zaragoza (Campus Zaragoza),18-dic-2012,"11,906","12,376","8,84","12,167","8,69","12,101","8,64","12,018","8,58","11,989","8,56","11,989","8,56","11,986","8,56","11,962","8,54","11,948","8,53","11,948","8,53","11,944","8,53","11,935","8,53","11,935","8,53","11,935","8,53","11,935","8,53","11,916","8,51","11,906","8,50","11,906","8,50",,
Universidad Jaume I,31-oct-2012,"11,944","12,44","8,89","12,016","8,58","12,014","8,58","11,999","8,57","11,974","8,55","11,964","8,55","11,944","8,53",,,,,,,,,,,,,,,,,,,,,,,,
U. de Extremadura (Badajoz),7-dic-2012,"11,95","12,4","8,86","12,167","8,69","12,104","8,65","12,081","8,63","12,056","8,61","12,014","8,58","12,009","8,58","12,003","8,57",12,"8,57","11,999","8,57","11,999","8,57","11,995","8,57","11,984","8,56","11,982","8,56","11,978","8,56","11,968","8,55","11,965","8,55","11,96","8,54","11,95","8,54"
Universidad de Salamanca,31-oct-2012,"11,957","12,37","8,84","12,223","8,73","12,092","8,64","12,006","8,58","12,006","8,58","11,957","8,54",,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Cádiz,26-oct-2012,"12,01","12,424","8,87","12,192","8,71","12,167","8,69","12,109","8,65","12,058","8,61","12,041","8,60","12,029","8,59","12,023","8,59","12,018","8,58","12,018","8,58","12,01","8,58","12,01","8,58",,,,,,,,,,,,,,
Universidad de La Laguna,27-sept-2012,"12,053","12,57","8,98","12,415","8,87","12,3","8,79","12,053","8,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. de C-La Mancha (Campus C.Real),25-jul-2012,"12,068","12,458","8,90","12,068","8,62","12,068","8,62","12,068","8,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URJC - Campus Alcorcón,5-oct-2012,"12,107","12,189","8,71","12,107","8,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. de C-La Mancha (Campus Albacete),15-nov-2012,"12,115","12,456","8,90","12,292","8,78","12,224","8,73","12,211","8,72","12,115","8,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. Miguel Hernández (S. Juan de Alicante),24-oct-2012,"12,131","12,526","8,95","12,428","8,88","12,367","8,83","12,338","8,81","12,32","8,80","12,282","8,77","12,264","8,76","12,254","8,75","12,242","8,74","12,22","8,73","12,188","8,71","12,164","8,69","12,143","8,67","12,131","8,67",,,,,,,,,,
Universidad de Sevilla,19-oct-2012,"12,136","12,503","8,93","12,304","8,79","12,244","8,75","12,191","8,71","12,164","8,69","12,147","8,68","12,146","8,68","12,146","8,68","12,14","8,67","12,136","8,67","12,136","8,67","12,136","8,67",,,,,,,,,,,,,,
Universidad de Alcalá,18-jul-2012,"12,178","12,229","8,74","12,178","8,70","12,178","8,70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Las Palmas,7-sept-2012,"12,178","12,429","8,88","12,244","8,75","12,188","8,71","12,178","8,70","12,178","8,70",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Valencia,11-oct-2012,"12,182","12,546","8,96","12,395","8,85","12,327","8,81","12,29","8,78","12,246","8,75","12,182","8,70",,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Córdoba,24-sept-2012,"12,196","12,555","8,97","12,333","8,81","12,3","8,79","12,195","8,71","12,195","8,71","12,196","8,71","12,196","8,71","12,196","8,71","12,196","8,71","12,196","8,71","12,196","8,71","12,196","8,71",,,,,,,,,,,,,,
Universidad de Málaga,27-sept-2012,"12,197","12,554","8,97","12,389","8,85","12,333","8,81","12,291","8,78","12,206","8,72","12,208","8,72","12,197","8,71","12,197","8,71","12,197","8,71","12,197","8,71","12,197","8,71","12,197","8,71",,,,,,,,,,,,,,
