Facultad de Medicina,Fecha de última admisión,Nota de corte actual,1ª Lista,Sobre 10,2ª Lista,Sobre 10,3ª Lista,Sobre 10,4ª Lista,Sobre 10,5ª Lista,Sobre 10,6ª Lista,Sobre 10,7ª Lista,Sobre 10,8ª Lista,Sobre 10,9ª Lista,Sobre 10,10ª Lista,Sobre 10,11ª Lista,Sobre 10,12ª Lista,Sobre 10,13ª Lista,Sobre 10,14ª Lista,Sobre 10,15ª Lista,Sobre 10,16ª Lista,Sobre 10,17ª Lista,Sobre 10,18ª Lista,Sobre 10,19ª Lista,Sobre 10,20ª Lista,Sobre 10,21ª Lista,Sobre 10,22ª Lista,Sobre 10
U. Miguel Hernández (S. Juan de Alicante),11/09/2017,"12,624","12,851","9,179","12,730","9,093","12,692","9,066","12,684","9,060","12,670","9,050","12,660","9,043","12,640","9,029","12,624","9,017","12,624","9,017","12,624","9,017","12,624","9,017","12,624","9,017",,,,,,,,,,,,,,,,,,,,
Universidad de Málaga,16/10/2017,"12,631","12,856","9,183","12,720","9,086","12,708","9,077","12,688","9,063","12,660","9,043","12,660","9,043","12,660","9,043","12,645","9,032","12,631","9,022","12,631","9,022","12,631","9,022",,,,,,,,,,,,,,,,,,,,,,
Universidad de Las Palmas,1/08/2017,"12,656","12,924","9,231","12,675","9,054","12,663","9,045","12,656","9,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Valencia,22/09/2017,"12,664","12,990","9,279","12,780","9,129","12,704","9,074","12,695","9,068","12,664","9,046",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URJC - Campus Alcorcón,22/09/2017,"12,693","12,793","9,138","12,693","9,066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Sevilla,30/10/2017,"12,725","12,921","9,229","12,779","9,128","12,763","9,116","12,747","9,105","12,741","9,101","12,738","9,099","12,738","9,099","12,732","9,094","12,732","9,094","12,732","9,094","12,725","9,089",,,,,,,,,,,,,,,,,,,,,,
Universidad de Alcalá,25/09/2017,"12,743","12,747","9,105","12,747","9,105","12,747","9,105","12,747","9,105","12,743","9,102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Granada,30/10/2017,"12,750","13,026","9,304","12,820","9,157","12,790","9,136","12,766","9,119","12,761","9,115","12,760","9,114","12,754","9,110","12,757","9,112","12,757","9,112","12,757","9,112","12,750","9,107",,,,,,,,,,,,,,,,,,,,,,
Universidad de Murcia,4/09/2017,"12,819","13,176","9,411","13,040","9,314","12,930","9,236","12,819","9,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Complutense de Madrid,14/07/2017,"12,871","12,871","9,194","12,871","9,194","12,871","9,194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. Autónoma de Madrid,14/09/2017,"12,960","13,110","9,364","13,020","9,300","12,998","9,284","12,960","9,257",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota promedio,,"12,460","12,748",,"12,625",,"12,573",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desviación típica,,"0,238","0,218",,"0,191",,"0,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
