Universidad,Fecha de última admisión,"Situación según 
Defensores Universitarios / Secretarías",Nota de corte actual,1ª Lista,Sobre 10,2ª Lista,Sobre 10,3ª Lista,Sobre 10,4ª Lista,Sobre 10,5ª Lista,Sobre 10,6ª Lista,Sobre 10,7ª Lista,Sobre 10,8ª Lista,Sobre 10,9ª Lista,Sobre 10,10ª Lista,Sobre 10,11ª Lista,Sobre 10,12ª Lista,Sobre 10,13ª Lista,Sobre 10,14ª Lista,Sobre 10,15ª Lista,Sobre 10,16ª Lista,Sobre 10,17ª Lista,Sobre 10,18ª Lista,Sobre 10,19ª Lista,Sobre 10,20ª Lista,Sobre 10,21ª Lista,Sobre 10,22ª Lista,Sobre 10,23ª Lista,Sobre 10
Universidad de Barcelona-Clínico,26/07/2021,179 matrículas / 172 plazas,"13,022","13,146","9,390","13,022","9,301","13,022","9,301","13,022","9,301","13,022","9,301","13,022","9,301","13,022","9,301","13,022","9,301","13,022","9,301","13,022","9,301","13,022","9,301","13,022","9,301",,,,,,,,,,,,,,,,,,,,,,
Universidad de La Laguna,10/12/2021,Sin respuesta,"12,983","13,304","9,503","13,115","9,368","13,054","9,324","12,983","9,274",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Las Palmas,01/10/2021,Sin respuesta,"12,962","13,246","9,461","13,120","9,371","13,087","9,348","13,071","9,336","12,962","9,259",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Salamanca,03/11/2021,Llamando,"12,952","13,303","9,502","13,300","9,500","13,175","9,411","13,090","9,350","13,017","9,298","12,952","9,251",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. de Zaragoza (Campus Huesca),23/11/2021,"Llamando
45 matriculados / 45 plazas (29-nov.)","12,937","13,215","9,439","13,070","9,336","13,046","9,319","13,028","9,306","13,017","9,298","13,015","9,296","12,937","9,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. de Santiago de Compostela,08/07/2021,369 matriculados / 360 plazas (02-nov.),"12,925","12,925","9,232","12,925","9,232","12,925","9,232","12,925","9,232","12,925","9,232","12,925","9,232","12,925","9,232","12,925","9,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Oviedo,05/11/2021,"149 matriculados en 1ª opción / 150 plazas
Tantea interés en lista de espera con 12,910","12,916","13,358","9,541","13,230","9,450","13,132","9,380","13,085","9,346","13,050","9,321","13,010","9,293","12,916","9,226",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. de Cantabria (Santander),13/10/2021,121 matriculados máx. (informan 122) / 120 plazas,"12,902","13,278","9,484","13,133","9,381","13,099","9,356","13,020","9,300","12,968","9,263","12,950","9,250","12,942","9,244","12,902","9,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Barcelona-Bellvitge,26/07/2021,108 matrículas / 87 plazas,"12,878","12,988","9,277","12,878","9,199","12,878","9,199","12,878","9,199","12,878","9,199","12,878","9,199","12,878","9,199","12,878","9,199","12,878","9,199","12,878","9,199","12,878","9,199","12,878","9,199",,,,,,,,,,,,,,,,,,,,,,
Universidad del País Vasco (Lejona),08/09/2021,"222 matriculados / 200 plazas (español)
129 matriculados / 130 plazas (euskera)","12,827","13,065","9,332","12,987","9,276","12,941","9,244","12,907","9,219","12,850","9,179","12,827","9,162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de las Islas Baleares,25/10/2021,59 matrículas / 60 plazas (18-nov. 1 vacante),"12,760","13,225","9,446","13,078","9,341","13,006","9,290","12,960","9,257","12,928","9,234","12,922","9,230","12,920","9,229","12,898","9,213","12,878","9,199","12,874","9,196","12,868","9,191","12,842","9,173","12,760","9,114",,,,,,,,,,,,,,,,,,,,
U. Pompeu Fabra (Barcelona),20/10/2021,52 matrículas netas / 50 plazas,"12,758","13,098","9,356","12,980","9,271","12,922","9,230","12,866","9,190","12,837","9,169","12,799","9,142","12,762","9,116","12,762","9,116","12,758","9,113","12,758","9,113","12,758","9,113","12,758","9,113",,,,,,,,,,,,,,,,,,,,,,
Universidad Autónoma de Barcelona,29/10/2021,350 matriculados / 350 plazas (10-nov.),"12,751","12,828","9,163","12,777","9,126","12,777","9,126","12,777","9,126","12,777","9,126","12,777","9,126","12,777","9,126","12,777","9,126","12,777","9,126","12,777","9,126","12,751","9,108","12,751","9,108",,,,,,,,,,,,,,,,,,,,,,
Universidad de Gerona,26/07/2021,105 matriculados / 80 plazas (10-nov.),"12,717","12,774","9,124","12,717","9,084","12,717","9,084","12,717","9,084","12,717","9,084","12,717","9,084","12,717","9,084","12,717","9,084","12,717","9,084","12,717","9,084","12,717","9,084","12,717","9,084",,,,,,,,,,,,,,,,,,,,,,
Universidad de Lérida,20/10/2021,113 matriculados / 110 plazas (10-nov.),"12,711","12,799","9,142","12,747","9,105","12,725","9,089","12,725","9,089","12,725","9,089","12,725","9,089","12,725","9,089","12,725","9,089","12,711","9,079","12,711","9,079","12,711","9,079","12,711","9,079",,,,,,,,,,,,,,,,,,,,,,
Universidad Rovira i Virgili (Reus),03/11/2021,130 matriculados / 125 plazas (10'-nov.),"12,708","12,852","9,180","12,750","9,107","12,750","9,107","12,750","9,107","12,746","9,104","12,734","9,096","12,720","9,086","12,720","9,086","12,710","9,079","12,710","9,079","12,710","9,079","12,708","9,077",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota media,,,"13,038","13,272",,"13,183",,"13,136",,"13,110",,"13,082",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desviación típica,,,"0,199","0,223",,"0,224",,"0,208",,"0,206",,"0,203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
